ÉRÅ[Éh,ëçëπâv,èüÇøêî,ïâÇØêî,ï™ÇØêî,èüó¶,ïΩãœëπâv,PF,ëçRî{êî,ïΩãœRî{êî,ëçëπâvó¶,ïΩãœä˙ä‘
1301,90300,12,10,0,0.5454545454545454,4104.545454545455,3.191747572815534,4.395594240803701,0.19979973821835006,36.53873690301679,4.0
1332,7600,18,21,0,0.46153846153846156,194.87179487179486,1.3762376237623761,1.3495927959743754,0.034604943486522446,2.4694498300252037,3.9743589743589745
1333,-16300,4,9,0,0.3076923076923077,-1253.8461538461538,0.6941838649155723,-2.0272467588253673,-0.1559420583711821,-1.935942870698074,4.076923076923077
1352,-3500.0,9,14,1,0.375,-145.83333333333334,0.9364791288566243,-0.989722197405222,-0.04123842489188425,-9.980825327650741,5.416666666666667
1376,-14500,8,18,0,0.3076923076923077,-557.6923076923077,0.7088353413654619,-6.091189936722949,-0.23427653602780574,-16.290025547930156,5.076923076923077
1377,17900,12,13,0,0.48,716.0,1.1732817037754115,2.2174677925497304,0.08869871170198922,3.9035956916095222,3.6
1379,1500,5,6,0,0.45454545454545453,136.36363636363637,1.0526315789473684,0.6094851099516997,0.05540773726833634,0.5156279701706452,3.8181818181818183
1384,700.0,10,10,0,0.5,35.0,1.0165876777251184,4.173027902247729,0.20865139511238645,9.648056540330305,4.2
1413,-56600,6,10,0,0.375,-3537.5,0.5195246179966044,-3.649105615744697,-0.22806910098404357,-16.620723920752518,4.1875
1414,37000,14,13,0,0.5185185185185185,1370.3703703703704,1.1841712294673967,5.6301836524403495,0.20852532046075367,20.210865040445253,3.814814814814815
7212,-3500,25,31,0,0.44642857142857145,-62.5,0.9722222222222222,-0.23628838378271394,-0.00421943542469132,3.173388561745832,3.9285714285714284
8604,21100,30,20,0,0.6,422.0,1.4341563786008231,16.377043423169248,0.3275408684633849,48.87152900819464,4.96
